time_of_day,weather,speed_limit,past_incidents,risk_multiplier
morning,rainy,60,2,2.037
night,clear,30,1,1.923
night,clear,80,5,2.5
night,rainy,40,1,2.26
afternoon,foggy,30,2,1.805
evening,foggy,30,3,2.101
morning,clear,80,2,2.055
morning,rainy,30,2,1.806
night,foggy,40,3,2.5
morning,rainy,60,3,2.309
evening,foggy,60,4,2.5
afternoon,clear,30,5,1.799
night,clear,40,2,2.05
evening,foggy,50,3,2.249
night,clear,50,4,2.346
morning,clear,40,1,1.327
afternoon,clear,40,1,1.501
morning,foggy,30,2,1.818
evening,foggy,40,3,2.224
evening,foggy,50,3,2.492
evening,clear,80,1,1.904
morning,foggy,40,1,1.785
afternoon,foggy,30,1,1.539
evening,rainy,40,3,2.191
night,rainy,50,3,2.411
afternoon,clear,60,1,1.84
evening,rainy,30,4,2.115
afternoon,foggy,80,2,2.478
morning,foggy,30,2,1.526
evening,foggy,60,2,2.5
afternoon,rainy,80,1,2.056
evening,clear,30,3,1.808
afternoon,rainy,80,2,2.33
evening,clear,60,1,1.851
afternoon,foggy,80,1,2.409
afternoon,rainy,60,2,2.287
night,foggy,80,2,2.5
morning,clear,30,2,1.474
afternoon,rainy,50,2,1.837
evening,foggy,80,5,2.5
night,rainy,40,4,2.459
night,clear,60,2,2.286
afternoon,foggy,50,2,1.998
morning,foggy,40,1,1.652
evening,rainy,80,1,2.339
morning,foggy,60,1,2.0
morning,rainy,50,4,2.27
morning,rainy,60,0,2.114
morning,foggy,30,2,1.852
afternoon,clear,50,3,1.967
morning,foggy,50,1,1.858
night,clear,60,3,2.208
night,clear,30,3,2.002
evening,clear,80,3,2.5
morning,rainy,50,0,1.683
afternoon,foggy,40,2,1.852
morning,clear,50,1,1.61
afternoon,rainy,60,5,2.333
evening,clear,30,2,1.588
evening,rainy,50,3,2.405
morning,rainy,40,0,1.519
evening,clear,80,0,2.083
night,rainy,40,4,2.295
evening,clear,80,2,2.271
afternoon,clear,40,3,1.71
afternoon,foggy,30,2,1.788
evening,rainy,60,0,2.018
morning,clear,40,1,1.307
morning,clear,30,2,1.505
afternoon,clear,50,5,2.024
night,rainy,40,3,2.401
morning,foggy,40,0,1.697
night,clear,50,2,2.211
evening,rainy,80,1,2.277
night,foggy,30,2,2.215
afternoon,rainy,80,1,2.415
night,rainy,30,3,2.13
afternoon,rainy,40,0,1.769
morning,clear,30,2,1.391
afternoon,foggy,80,7,2.5
night,foggy,30,1,2.112
afternoon,foggy,80,2,2.5
evening,rainy,60,3,2.324
evening,foggy,60,0,2.182
night,rainy,60,4,2.5
morning,clear,40,4,1.726
night,foggy,50,3,2.421
morning,clear,60,3,1.823
evening,clear,40,1,1.749
morning,clear,80,3,2.248
afternoon,foggy,80,2,2.429
night,clear,80,1,2.337
morning,clear,40,2,1.52
evening,foggy,30,3,1.917
morning,foggy,50,1,2.257
evening,clear,30,4,1.79
afternoon,rainy,30,3,1.847
night,foggy,50,2,2.5
morning,clear,30,0,1.144
morning,rainy,80,5,2.5
night,clear,50,6,2.496
evening,clear,50,3,1.936
evening,foggy,40,3,2.284
night,clear,50,3,2.34
afternoon,foggy,40,3,2.091
morning,clear,60,1,1.785
afternoon,clear,40,0,1.518
afternoon,rainy,80,3,2.5
evening,rainy,40,1,1.874
night,clear,50,1,2.055
night,rainy,60,3,2.5
night,clear,80,5,2.5
afternoon,clear,50,0,1.447
morning,rainy,60,2,2.094
evening,foggy,40,2,2.166
morning,rainy,50,1,1.697
morning,rainy,30,1,1.661
morning,clear,40,2,1.525
evening,rainy,50,3,1.998
afternoon,foggy,30,2,2.09
night,clear,40,2,1.968
morning,clear,30,1,1.332
afternoon,rainy,40,2,1.797
evening,clear,50,0,1.711
morning,foggy,30,4,2.088
evening,foggy,50,4,2.5
evening,rainy,60,1,2.18
morning,foggy,40,2,1.901
night,foggy,60,2,2.5
night,clear,50,1,1.94
evening,foggy,30,3,2.121
night,clear,60,4,2.369
afternoon,rainy,40,4,2.078
evening,clear,40,2,1.819
evening,rainy,60,2,2.286
afternoon,clear,30,2,1.277
afternoon,foggy,30,2,1.874
morning,clear,30,1,1.345
evening,rainy,50,2,2.188
night,rainy,30,1,2.15
night,rainy,60,2,2.5
night,clear,30,4,2.017
afternoon,clear,80,1,1.945
evening,foggy,80,3,2.5
morning,foggy,50,2,2.085
night,rainy,80,1,2.5
morning,clear,80,2,2.101
afternoon,clear,40,1,1.587
evening,clear,60,0,1.758
morning,rainy,60,2,2.223
afternoon,rainy,60,1,1.895
evening,clear,30,4,1.826
afternoon,rainy,50,5,2.386
afternoon,foggy,30,2,1.648
morning,clear,30,1,1.457
night,rainy,40,1,2.247
morning,foggy,80,3,2.5
afternoon,clear,60,1,1.745
evening,foggy,40,3,2.057
night,foggy,80,3,2.5
afternoon,rainy,80,4,2.5
night,rainy,60,4,2.5
evening,clear,40,2,1.821
afternoon,foggy,30,2,2.105
afternoon,clear,40,1,1.561
afternoon,clear,40,1,1.589
evening,rainy,30,0,1.746
night,rainy,30,1,2.05
morning,foggy,80,0,2.164
night,clear,50,2,2.236
afternoon,clear,40,2,1.451
afternoon,rainy,80,3,2.48
afternoon,foggy,80,0,2.197
night,clear,30,2,1.966
morning,clear,60,0,1.455
morning,foggy,80,2,2.375
afternoon,rainy,40,4,1.916
night,rainy,60,0,2.271
evening,clear,40,0,1.608
morning,foggy,60,4,2.251
morning,clear,30,1,1.318
afternoon,rainy,30,2,1.682
morning,clear,40,3,1.553
evening,rainy,60,2,2.429
night,rainy,60,1,2.5
afternoon,clear,50,3,1.898
evening,clear,50,1,1.738
afternoon,rainy,60,4,2.208
night,rainy,80,4,2.5
morning,rainy,60,0,1.866
night,clear,60,1,2.163
afternoon,clear,50,2,1.671
evening,rainy,80,2,2.494
morning,foggy,80,0,2.139
night,clear,60,2,2.18
night,clear,60,4,2.283
evening,rainy,80,2,2.5
afternoon,foggy,80,0,2.336
afternoon,foggy,80,1,2.27
afternoon,clear,80,1,1.988
morning,foggy,80,1,2.256
afternoon,rainy,60,3,2.311
afternoon,clear,40,5,1.952
morning,clear,40,4,1.675
morning,foggy,30,0,1.384
night,clear,50,0,1.887
night,clear,30,3,1.976
morning,clear,60,2,1.93
evening,foggy,60,2,2.294
afternoon,rainy,60,4,2.289
morning,rainy,40,1,1.708
evening,rainy,80,4,2.5
evening,clear,30,2,1.629
afternoon,rainy,60,1,2.031
night,clear,50,3,2.174
evening,rainy,80,5,2.5
evening,clear,60,0,1.68
afternoon,rainy,80,1,2.249
evening,clear,50,3,2.044
evening,clear,60,2,1.985
morning,clear,50,1,1.588
night,rainy,40,1,2.192
evening,rainy,30,2,2.045
afternoon,rainy,40,0,1.592
afternoon,clear,30,4,1.765
afternoon,foggy,80,2,2.489
afternoon,foggy,80,0,2.162
afternoon,clear,80,0,1.845
afternoon,foggy,80,3,2.5
afternoon,rainy,40,1,1.879
evening,rainy,80,3,2.458
evening,clear,60,0,1.722
evening,clear,50,3,2.068
morning,clear,60,1,1.795
afternoon,clear,30,2,1.588
evening,clear,80,3,2.309
morning,clear,80,4,2.303
afternoon,foggy,40,2,1.943
night,clear,60,0,1.91
night,rainy,60,1,2.253
morning,clear,60,1,1.516
evening,rainy,40,2,2.003
evening,rainy,50,3,2.251
night,rainy,30,2,2.016
morning,foggy,50,3,2.201
afternoon,clear,60,1,1.807
night,clear,80,2,2.5
afternoon,clear,30,2,1.39
afternoon,clear,40,0,1.398
night,foggy,80,3,2.5
evening,foggy,30,1,1.898
night,rainy,60,2,2.424
morning,rainy,60,1,2.011
morning,rainy,50,3,2.144
afternoon,foggy,50,1,2.041
night,rainy,60,4,2.5
afternoon,rainy,60,1,2.095
morning,foggy,50,2,1.985
morning,foggy,80,2,2.348
night,clear,60,3,2.347
afternoon,rainy,40,1,1.708
evening,clear,30,0,1.398
evening,clear,60,4,2.084
evening,rainy,60,2,2.21
afternoon,clear,60,1,1.859
morning,foggy,60,2,2.046
night,rainy,30,4,2.5
night,rainy,40,1,2.028
night,clear,50,2,2.14
evening,clear,50,4,2.118
afternoon,foggy,50,1,2.065
night,rainy,60,1,2.491
evening,clear,30,1,1.512
afternoon,foggy,30,4,2.139
night,foggy,60,0,2.307
afternoon,clear,80,0,1.73
afternoon,foggy,80,1,2.403
afternoon,clear,60,0,1.54
night,foggy,80,2,2.5
evening,rainy,40,2,2.014
morning,clear,30,5,1.598
evening,rainy,60,1,2.061
afternoon,clear,50,4,1.893
night,rainy,60,4,2.5
afternoon,rainy,30,0,1.561
morning,rainy,40,2,1.679
evening,rainy,50,2,1.881
morning,rainy,30,0,1.469
morning,clear,30,1,1.275
afternoon,rainy,30,1,1.561
evening,foggy,30,0,1.827
night,foggy,50,2,2.5
night,clear,80,2,2.379
afternoon,foggy,60,1,2.062
morning,foggy,30,2,1.815
afternoon,clear,60,1,1.912
morning,rainy,50,4,2.091
evening,clear,40,1,1.715
morning,rainy,80,0,1.993
night,rainy,40,0,1.85
morning,foggy,80,3,2.435
morning,foggy,30,0,1.705
night,foggy,80,1,2.5
afternoon,rainy,60,1,2.229
morning,foggy,50,2,1.902
night,clear,40,1,1.774
morning,rainy,60,1,1.917
evening,foggy,50,1,2.236
afternoon,rainy,30,0,1.712
morning,clear,40,1,1.525
night,rainy,50,2,2.341
evening,rainy,50,1,2.045
morning,rainy,60,5,2.355
evening,rainy,60,0,2.058
morning,rainy,80,3,2.44
night,clear,50,1,1.879
evening,foggy,60,2,2.435
evening,clear,40,4,2.166
morning,foggy,80,1,2.413
morning,rainy,50,0,1.906
afternoon,clear,60,0,1.816
afternoon,foggy,60,0,1.974
afternoon,rainy,30,2,1.947
night,rainy,40,3,2.394
evening,rainy,30,5,2.219
morning,foggy,30,0,1.498
evening,rainy,50,3,2.161
night,rainy,80,0,2.5
night,rainy,80,2,2.5
night,rainy,30,4,2.421
evening,clear,80,6,2.5
morning,rainy,60,1,1.881
night,clear,80,1,2.319
evening,foggy,40,0,2.066
night,rainy,60,1,2.36
night,foggy,60,2,2.5
afternoon,clear,80,2,2.03
morning,clear,50,2,1.691
afternoon,rainy,40,4,2.17
afternoon,clear,60,1,1.757
afternoon,rainy,40,3,1.793
morning,foggy,30,1,1.796
evening,rainy,30,2,1.797
night,foggy,30,1,2.052
night,rainy,50,4,2.5
afternoon,foggy,40,4,2.225
morning,clear,60,0,1.574
night,foggy,30,1,2.162
afternoon,clear,80,3,2.32
night,rainy,50,1,2.195
morning,foggy,40,2,2.065
night,rainy,30,2,2.167
night,rainy,50,2,2.324
night,rainy,30,2,1.926
morning,rainy,80,1,2.212
afternoon,clear,60,1,1.674
night,rainy,60,0,2.38
evening,clear,60,0,1.951
evening,foggy,30,2,1.945
morning,rainy,50,2,1.751
morning,clear,40,2,1.497
night,foggy,80,3,2.5
morning,clear,50,1,1.614
morning,clear,40,2,1.655
night,clear,80,3,2.5
afternoon,clear,30,1,1.434
afternoon,foggy,80,3,2.451
evening,foggy,50,4,2.457
afternoon,clear,40,0,1.382
night,clear,50,0,1.721
afternoon,foggy,80,6,2.5
evening,rainy,50,1,2.085
night,rainy,30,3,2.237
afternoon,rainy,30,1,1.568
morning,foggy,50,3,2.272
night,rainy,60,2,2.483
afternoon,clear,60,0,1.54
afternoon,clear,60,2,1.79
afternoon,foggy,50,1,1.882
morning,foggy,60,1,1.984
evening,rainy,50,2,1.983
evening,clear,50,0,1.52
morning,rainy,80,2,2.258
night,clear,40,3,2.119
morning,rainy,30,2,1.766
morning,clear,50,2,1.672
evening,foggy,40,4,2.337
night,clear,80,1,2.307
afternoon,clear,50,0,1.549
evening,foggy,80,1,2.5
night,rainy,60,1,2.434
evening,clear,60,1,1.945
morning,clear,30,0,1.201
afternoon,clear,30,2,1.397
evening,rainy,60,3,2.285
morning,clear,40,1,1.556
afternoon,clear,50,2,1.798
afternoon,clear,80,1,2.15
night,foggy,40,3,2.37
morning,clear,60,2,1.956
evening,clear,50,5,2.221
morning,foggy,40,4,1.99
night,clear,50,0,1.768
morning,foggy,80,3,2.5
afternoon,clear,50,1,1.725
afternoon,rainy,30,2,1.839
morning,clear,30,2,1.508
night,rainy,80,4,2.5
night,foggy,40,3,2.5
night,foggy,50,3,2.5
night,rainy,80,1,2.5
morning,rainy,30,3,1.733
morning,foggy,80,0,2.177
afternoon,foggy,60,3,2.377
morning,clear,40,2,1.636
afternoon,clear,40,2,1.771
afternoon,clear,30,2,1.439
afternoon,rainy,30,4,1.831
evening,rainy,60,1,2.194
night,foggy,60,0,2.5
afternoon,foggy,50,3,2.267
night,foggy,60,0,2.5
evening,rainy,50,2,2.042
afternoon,rainy,30,0,1.412
evening,clear,30,4,2.004
night,rainy,30,2,2.135
night,clear,50,1,2.02
night,clear,50,2,2.126
evening,foggy,30,1,1.957
night,rainy,50,4,2.5
evening,foggy,80,3,2.5
evening,rainy,50,2,2.08
night,clear,80,4,2.5
night,rainy,40,2,2.18
evening,rainy,50,1,2.18
afternoon,foggy,80,1,2.282
evening,rainy,40,2,1.93
morning,clear,30,1,1.364
night,foggy,50,1,2.356
night,foggy,40,2,2.368
evening,rainy,80,1,2.455
afternoon,rainy,30,2,1.703
morning,rainy,80,5,2.5
morning,foggy,80,2,2.124
evening,clear,40,2,1.728
afternoon,clear,30,3,1.712
afternoon,clear,40,2,1.803
afternoon,foggy,50,4,2.344
evening,rainy,40,1,1.957
evening,clear,30,2,1.557
morning,foggy,40,1,1.846
afternoon,clear,50,1,1.61
morning,foggy,30,3,1.895
afternoon,clear,60,4,2.021
evening,rainy,80,3,2.5
morning,rainy,30,3,1.772
morning,foggy,60,3,2.354
afternoon,foggy,60,3,2.185
evening,foggy,60,4,2.413
evening,rainy,30,2,1.734
afternoon,clear,80,3,2.382
evening,clear,50,1,1.82
morning,foggy,50,4,2.286
night,rainy,80,2,2.5
evening,rainy,60,4,2.382
evening,rainy,40,3,2.252
morning,clear,80,2,2.123
evening,foggy,40,4,2.346
night,clear,60,1,2.056
afternoon,rainy,80,2,2.36
afternoon,clear,50,3,1.814
afternoon,rainy,50,8,2.5
night,clear,80,0,2.132
night,foggy,50,2,2.416
afternoon,rainy,40,2,1.817
night,foggy,40,4,2.5
evening,clear,60,3,2.061
night,clear,50,2,2.078
afternoon,clear,50,4,2.052
evening,clear,60,4,2.25
night,clear,60,0,1.908
afternoon,foggy,30,2,1.902
evening,foggy,60,6,2.5
morning,rainy,40,3,1.839
night,foggy,50,3,2.5
morning,foggy,30,1,1.725
evening,clear,80,0,2.132
night,foggy,80,4,2.5
night,rainy,40,1,2.102
night,rainy,60,3,2.5
night,clear,60,2,2.162
morning,clear,40,1,1.558
evening,foggy,40,3,2.182
night,rainy,40,1,1.977
afternoon,foggy,30,3,2.028
morning,rainy,30,1,1.622
morning,foggy,40,4,2.122
night,rainy,50,3,2.5
morning,foggy,40,0,1.849
evening,foggy,30,5,2.41
afternoon,foggy,30,2,1.854
night,clear,50,1,1.935
morning,rainy,30,4,1.983
evening,foggy,80,2,2.5
afternoon,foggy,60,0,1.942
evening,rainy,40,0,1.688
night,clear,30,1,1.689
afternoon,rainy,50,0,1.696
afternoon,foggy,50,1,1.923
night,clear,80,1,2.5
evening,clear,40,2,1.63
morning,rainy,80,0,1.978
evening,clear,60,2,2.075
night,rainy,30,5,2.357
morning,rainy,30,2,1.495
morning,foggy,40,2,1.847
morning,clear,80,3,2.226
morning,foggy,30,1,1.6
afternoon,foggy,50,3,2.067
night,rainy,80,3,2.5
evening,rainy,50,1,2.144
night,foggy,60,1,2.413
night,rainy,60,1,2.245
night,foggy,80,2,2.5
afternoon,rainy,50,3,2.053
evening,foggy,60,3,2.5
night,foggy,30,5,2.429
morning,rainy,80,2,2.378
afternoon,clear,80,2,1.938
evening,foggy,60,1,2.267
night,foggy,40,2,2.428
evening,clear,80,0,2.029
evening,clear,80,3,2.286
evening,rainy,50,1,2.066
evening,clear,80,4,2.326
evening,rainy,60,0,1.91
morning,foggy,30,2,1.813
morning,foggy,30,0,1.614
afternoon,foggy,30,1,1.769
morning,rainy,30,3,1.823
morning,foggy,80,2,2.292
afternoon,clear,40,2,1.371
afternoon,foggy,40,3,2.004
night,foggy,50,1,2.443
night,foggy,40,4,2.5
morning,foggy,60,3,2.14
evening,rainy,60,1,2.12
morning,rainy,50,1,1.875
night,foggy,40,1,2.194
afternoon,rainy,40,0,1.621
afternoon,foggy,80,1,2.485
night,rainy,80,3,2.5
night,clear,80,3,2.5
afternoon,foggy,50,4,2.394
afternoon,clear,60,2,1.918
afternoon,foggy,30,3,1.821
evening,foggy,30,1,1.957
night,foggy,30,4,2.342
evening,foggy,80,2,2.5
night,rainy,40,2,2.228
afternoon,foggy,80,4,2.5
afternoon,clear,60,3,2.007
evening,foggy,60,3,2.433
night,clear,80,0,2.106
evening,rainy,40,5,2.406
night,foggy,80,3,2.5
night,rainy,40,0,1.951
night,rainy,80,2,2.5
morning,foggy,50,1,1.831
evening,foggy,30,1,1.947
afternoon,rainy,60,1,2.218
afternoon,clear,40,1,1.474
evening,clear,80,2,2.147
afternoon,foggy,60,3,2.298
evening,foggy,30,0,1.804
morning,foggy,40,1,1.733
night,clear,60,4,2.086
evening,rainy,50,1,1.939
night,clear,40,2,1.936
morning,rainy,40,2,1.857
evening,clear,40,1,1.601
night,clear,60,0,2.13
night,foggy,60,4,2.5
morning,rainy,40,0,1.638
morning,foggy,80,0,2.294
afternoon,clear,40,0,1.458
afternoon,rainy,60,5,2.441
morning,rainy,50,2,1.918
evening,rainy,60,2,2.314
evening,rainy,60,3,2.389
night,foggy,50,0,2.318
evening,foggy,30,1,1.912
evening,clear,40,2,1.862
evening,clear,60,1,1.83
night,foggy,60,3,2.5
morning,rainy,80,3,2.484
night,clear,60,5,2.5
night,clear,60,3,2.305
evening,clear,60,5,2.212
evening,rainy,40,1,2.117
afternoon,rainy,30,5,2.048
evening,foggy,80,5,2.5
morning,clear,80,3,2.168
morning,foggy,40,2,1.942
evening,clear,40,2,1.672
afternoon,rainy,50,3,1.997
night,clear,50,0,1.866
evening,foggy,80,2,2.5
morning,rainy,40,2,1.833
evening,clear,30,1,1.561
afternoon,rainy,60,4,2.268
evening,rainy,60,0,2.146
afternoon,clear,50,1,1.654
night,clear,30,2,1.707
afternoon,foggy,40,3,2.071
evening,clear,30,2,1.804
night,rainy,50,4,2.382
morning,rainy,50,2,1.976
morning,foggy,40,2,1.773
evening,foggy,50,4,2.303
night,clear,40,5,2.243
evening,foggy,60,1,2.219
afternoon,clear,80,2,2.098
evening,rainy,80,0,2.343
morning,foggy,50,0,1.776
evening,rainy,80,3,2.5
evening,clear,80,2,2.249
morning,clear,40,1,1.429
evening,rainy,30,0,1.713
night,clear,30,3,1.966
morning,foggy,30,1,1.663
afternoon,rainy,50,0,1.905
evening,foggy,30,1,2.039
morning,rainy,30,0,1.511
night,foggy,80,1,2.5
afternoon,rainy,40,4,1.98
evening,foggy,50,4,2.309
morning,foggy,50,3,2.085
evening,clear,50,1,1.95
afternoon,clear,80,1,2.128
morning,rainy,60,1,1.738
night,foggy,60,1,2.5
afternoon,clear,30,2,1.663
evening,foggy,50,2,2.122
morning,foggy,50,1,1.966
evening,foggy,50,3,2.401
evening,clear,40,1,1.848
morning,foggy,60,1,2.095
morning,rainy,40,2,2.071
afternoon,clear,50,2,1.651
afternoon,clear,60,3,1.954
morning,clear,60,0,1.439
morning,foggy,50,2,2.122
afternoon,foggy,30,1,1.668
morning,clear,80,2,1.943
evening,foggy,40,3,2.343
night,foggy,30,1,1.936
morning,foggy,50,6,2.357
morning,foggy,30,1,1.767
morning,clear,40,3,1.749
afternoon,rainy,60,2,2.189
evening,clear,40,5,2.189
evening,rainy,50,1,2.129
afternoon,clear,50,1,1.722
night,clear,60,3,2.315
evening,rainy,60,1,2.158
night,foggy,40,3,2.347
morning,foggy,50,3,2.097
evening,clear,50,1,1.878
afternoon,foggy,50,1,1.977
night,foggy,50,4,2.5
morning,clear,60,2,1.804
evening,clear,50,2,1.886
night,clear,30,2,1.835
afternoon,foggy,80,1,2.417
night,foggy,40,2,2.327
night,foggy,50,2,2.459
night,clear,60,3,2.338
afternoon,foggy,80,0,2.037
night,clear,30,2,1.871
night,rainy,80,4,2.5
night,clear,50,1,1.998
afternoon,rainy,30,4,2.115
night,clear,80,1,2.42
afternoon,rainy,40,1,2.058
afternoon,clear,40,2,1.514
evening,foggy,50,2,2.161
night,rainy,40,0,2.145
morning,clear,80,5,2.305
afternoon,rainy,60,4,2.333
night,rainy,50,2,2.342
evening,rainy,50,0,1.806
afternoon,foggy,30,1,1.766
afternoon,clear,50,3,1.734
afternoon,foggy,30,4,1.944
afternoon,foggy,40,2,2.029
night,foggy,80,1,2.5
night,clear,60,4,2.311
afternoon,clear,60,4,1.958
morning,clear,60,3,1.824
afternoon,rainy,80,2,2.36
evening,foggy,40,3,2.223
afternoon,clear,80,2,2.288
afternoon,clear,30,6,1.954
afternoon,foggy,40,3,2.092
afternoon,foggy,40,4,2.081
evening,rainy,40,1,1.982
evening,clear,30,1,1.439
afternoon,clear,80,1,2.115
morning,clear,30,0,1.144
morning,clear,30,2,1.445
evening,clear,80,1,2.057
morning,rainy,30,2,1.807
afternoon,foggy,60,2,2.209
night,clear,50,0,1.691
afternoon,clear,40,3,1.79
morning,clear,60,2,1.785
evening,rainy,50,4,2.303
afternoon,rainy,80,3,2.446
afternoon,foggy,40,1,1.858
evening,foggy,60,2,2.5
night,rainy,30,3,2.096
night,rainy,40,3,2.305
night,rainy,60,5,2.5
afternoon,rainy,80,1,2.232
night,foggy,80,3,2.5
evening,foggy,50,1,2.183
morning,clear,50,1,1.581
evening,rainy,40,5,2.296
afternoon,rainy,30,1,1.708
morning,foggy,60,1,2.114
morning,rainy,30,5,2.112
evening,clear,40,2,1.921
afternoon,clear,60,2,1.977
afternoon,clear,80,1,2.002
night,foggy,30,2,1.992
evening,rainy,40,0,1.788
evening,rainy,50,0,1.942
morning,clear,30,1,1.397
morning,rainy,50,2,1.937
evening,rainy,30,0,1.738
afternoon,foggy,80,3,2.5
night,foggy,50,2,2.356
night,clear,60,1,2.181
morning,clear,60,3,2.185
evening,rainy,30,0,1.605
afternoon,clear,80,1,1.98
evening,clear,50,3,2.127
afternoon,foggy,80,2,2.287
evening,rainy,60,1,2.023
night,clear,30,0,1.667
afternoon,foggy,40,2,2.061
night,clear,30,4,1.904
morning,clear,30,2,1.513
night,foggy,80,1,2.5
afternoon,clear,30,0,1.386
afternoon,foggy,80,2,2.458
morning,rainy,50,2,2.042
night,foggy,40,0,2.197
evening,rainy,80,1,2.299
afternoon,clear,50,5,1.869
afternoon,clear,30,0,1.219
night,clear,40,1,1.77
afternoon,clear,50,0,1.636
evening,rainy,30,2,1.921
evening,clear,60,1,2.017
evening,foggy,50,3,2.467
morning,foggy,80,3,2.423
evening,clear,60,3,2.107
evening,foggy,60,1,2.384
evening,rainy,80,1,2.401
night,foggy,80,1,2.5
afternoon,clear,40,2,1.553
afternoon,rainy,40,2,1.898
evening,rainy,80,1,2.349
morning,clear,40,0,1.605
afternoon,foggy,50,1,1.918
afternoon,clear,80,3,2.206
evening,clear,60,4,2.219
night,clear,80,2,2.461
morning,foggy,30,2,1.737
night,clear,40,3,2.155
morning,clear,40,6,1.985
afternoon,foggy,60,3,2.355
night,clear,60,4,2.379
evening,rainy,80,3,2.5
morning,clear,60,1,1.76
night,clear,50,3,2.193
evening,foggy,50,1,1.986
afternoon,rainy,50,3,2.168
afternoon,foggy,60,0,2.001
afternoon,foggy,30,4,2.126
night,clear,60,2,2.181
evening,clear,60,1,1.918
afternoon,rainy,60,3,2.227
afternoon,clear,60,1,1.725
evening,foggy,40,0,2.024
afternoon,clear,40,1,1.616
morning,rainy,50,2,1.997
morning,clear,30,2,1.352
afternoon,foggy,80,1,2.271
morning,foggy,80,4,2.5
evening,clear,80,4,2.404
evening,clear,30,3,1.733
evening,foggy,50,1,2.248
night,clear,60,1,2.126
morning,rainy,30,2,1.608
evening,foggy,80,2,2.5
evening,foggy,50,1,2.179
afternoon,clear,60,1,1.65
morning,clear,50,1,1.579
afternoon,rainy,40,3,2.129
morning,rainy,40,1,1.72
afternoon,rainy,80,2,2.303
night,rainy,30,0,1.738
afternoon,foggy,40,3,2.159
morning,clear,50,2,1.726
evening,rainy,80,0,2.417
morning,foggy,40,4,2.079
evening,rainy,50,4,2.294
afternoon,rainy,40,0,1.531
evening,foggy,40,3,2.296
night,foggy,50,0,2.321
afternoon,clear,40,0,1.314
morning,foggy,40,1,1.57
morning,clear,30,5,1.733
evening,foggy,30,0,1.753
evening,foggy,80,2,2.5
afternoon,rainy,50,1,1.943
night,clear,80,2,2.427
night,rainy,40,2,2.226
afternoon,rainy,80,2,2.407
morning,clear,60,0,1.597
evening,rainy,80,1,2.245
afternoon,clear,50,3,1.906
afternoon,foggy,40,1,1.908
morning,foggy,30,0,1.52
afternoon,clear,80,5,2.354
morning,clear,30,1,1.426
morning,rainy,30,1,1.547
night,clear,40,1,1.805
afternoon,foggy,60,1,2.028
evening,foggy,30,3,2.184
morning,foggy,80,2,2.487
evening,foggy,50,2,2.044
night,foggy,40,3,2.435
morning,foggy,60,1,2.098
afternoon,foggy,30,0,1.512
morning,clear,80,1,1.728
night,clear,40,2,2.088
evening,foggy,80,0,2.5
morning,clear,60,3,2.019
evening,clear,50,1,1.91
evening,rainy,50,3,2.089
night,foggy,80,3,2.5
morning,rainy,30,3,1.666
afternoon,clear,80,2,1.991
evening,foggy,50,2,2.319
morning,clear,80,4,2.193
